Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/14/2022,,PAYPAL *ALIPAYUSINC 8613917489939       CA,-141.00,"10087764507 8613917489939
PAYPAL *ALIPAYUSINC
8613917489939
CA
Description : GENERAL Price : 0.00
8613917489939",PAYPAL *ALIPAYUSINC 8613917489939       CA,CA 110,"LOS ANGELES
CA",900,UNITED STATES OF AMERICA (THE),'320220460857175150',Communications-Other Telecom
02/10/2022,,PAYPAL *EBAY US     8665403229          CA,26.93,"10087518600 8665403229
PAYPAL *EBAY US
8665403229
CA
Description : DEPARTMENT STORE Price : 0.00
8665403229",PAYPAL *EBAY US     8665403229          CA,2535 NORTH FIRST ST,"SAN JOSE
CA",95131,UNITED STATES,'320220420776000471',Merchandise & Supplies-Department Stores
02/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0KEC89A    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320220390720422830',Business Services-Internet Services
02/06/2022,,PAYPAL *EYEBUYDIREC 8553932891          TX,59.08,"10087188858 8553932891
PAYPAL *EYEBUYDIREC
8553932891
TX
Description : VISION CARE Price : 0.00
8553932891",PAYPAL *EYEBUYDIREC 8553932891          TX,"2801 SOUTH IH 35
STE 170","AUSTIN
TX",78741-5518,UNITED STATES OF AMERICA (THE),'320220380698380536',Business Services-Health Care Services
02/04/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98,"13076456352 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320220350645426784',Communications-Telephone Comm
02/03/2022,,PAYPAL *EBAY US     8665403229          CA,16.55,"10086967813 8665403229
PAYPAL *EBAY US
8665403229
CA
Description : DEPARTMENT STORE Price : 0.00
8665403229",PAYPAL *EBAY US     8665403229          CA,2535 NORTH FIRST ST,"SAN JOSE
CA",95131,UNITED STATES,'320220350643541107',Merchandise & Supplies-Department Stores
02/02/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99,"8517530203314941            627082
ELM STORAGE LLC
951-677-1234
CA
14941            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320220330609013861',Transportation-Other Transportation
02/02/2022,,YOUR CASH BACK THIS PERIOD IS,-3.15,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320220340626683308',Fees & Adjustments-Fees & Adjustments
02/01/2022,,AUTOPAY PAYMENT - THANK YOU,-77.03,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320220320567658633',
01/11/2022,,PAYPAL *OUTERWEARSI 4029357733          MI,36.90,"10085209175 4029357733
PAYPAL *OUTERWEARSI
4029357733
MI
Description : ACCOUNTING Price : 0.00
4029357733",PAYPAL *OUTERWEARSI 4029357733          MI,12611 US HWY 131,"4029357733
MI",49087,UNITED STATES OF AMERICA (THE),'320220120204768353',Business Services-Banking Services
01/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0K3PIXT    SELLER
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
SELLER",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320220080134889086',Business Services-Internet Services
01/04/2022,,ELM STORAGE LLC     951-677-1234        CA,287.00,"8517530200414297            627082
ELM STORAGE LLC
951-677-1234
CA
14297            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320220040062920795',Transportation-Other Transportation
01/04/2022,,FRONTIER TELEPHONE  8009218101          NY,56.98,"12986611162 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320220040061613120',Communications-Telephone Comm
01/03/2022,,PAYPAL *AM ADV LAB  3852024188          UT,-311.00,"10084630262 3852024188
PAYPAL *AM ADV LAB
3852024188
UT
Description : GENERAL Price : 0.00
3852024188",PAYPAL *AM ADV LAB  3852024188          UT,"1392 EAST RDG ST
UNIT A","WASHINGTON
UT",84780,UNITED STATES,'320220040057817119',Transportation-Auto Services
01/02/2022,,YOUR CASH BACK THIS PERIOD IS,-9.83,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320220030042633045',Fees & Adjustments-Fees & Adjustments
01/01/2022,,AUTOPAY PAYMENT - THANK YOU,-743.16,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320220010993187894',
